"Phase","Week","Week_num","WeekStartDate","WeekEndDate","Stratum","NumOfSites","NumOfTows","RawCatch","TotalRawSampleVolume","AdjCatch","TotalEffSampleVolume","StratumVolume","nHat","nVar","nSE","lowCI","uppCI","SpatialCoverage"
"17_3","Week.21",21,2017-11-20,2017-11-24,"Southern Delta",4,32,0,105573.77784954,0,76247.72844689,255069170,0,NA,NA,NA,NA,""
"17_3","Week.21",21,2017-11-20,2017-11-24,"Total",25,149,1,420536.7110406,1,303720.957973767,NA,8711.21756161632,75925804.863471,8713.54146506867,1204,31500,"Full"
"17_3","Week.22",22,2017-11-27,2017-12-01,"Western Delta",4,32,0,138782.54014086,0,100231.834546177,279273078,0,NA,NA,NA,NA,""
"17_3","Week.22",22,2017-11-27,2017-12-01,"Suisun Bay Marsh",4,14,3,29106.95141508,3,21021.6871331133,220105238,31412.1108568787,329032106.836668,18139.2421792276,9506,77845,""
"17_3","Week.22",22,2017-11-27,2017-12-01,"Lower Sacramento",2,10,0,21161.46202632,0,15283.27813012,117440529,0,NA,NA,NA,NA,""
"17_3","Week.22",22,2017-11-27,2017-12-01,"Cache Slough LI",2,10,0,20063.22002454,0,14490.1033510567,51786023,0,NA,NA,NA,NA,""
"17_3","Week.22",22,2017-11-27,2017-12-01,"Sac DW Ship Channel",2,10,0,17696.55737388,0,12780.8469922467,14472933,0,NA,NA,NA,NA,""
"17_3","Week.22",22,2017-11-27,2017-12-01,"Upper Sacramento",2,17,0,71754.39435318,0,51822.6181439633,50673600,0,NA,NA,NA,NA,""
"17_3","Week.22",22,2017-11-27,2017-12-01,"Lower San Joaquin",5,21,0,39015.05553792,0,28177.54011072,109289061,0,NA,NA,NA,NA,""
"17_3","Week.22",22,2017-11-27,2017-12-01,"Southern Delta",4,32,0,83154.67877178,0,60056.15689073,255069170,0,NA,NA,NA,NA,""
"17_3","Week.22",22,2017-11-27,2017-12-01,"Total",25,146,3,420734.85964356,3,303864.065298127,NA,31412.1108568787,329032106.836668,18139.2421792276,9506,77845,"Full"
"18_1","Week.1",1,2017-12-04,2017-12-07,"Western Delta",3,15,0,66033.35892384,0,47690.7592227733,190166275,0,NA,NA,NA,NA,""
"18_1","Week.1",1,2017-12-04,2017-12-07,"Suisun Bay",8,40,0,87849.334766655,0,63446.7417759175,285840678,0,NA,NA,NA,NA,""
"18_1","Week.1",1,2017-12-04,2017-12-07,"Suisun Marsh",2,10,0,17628.82290246,0,12731.9276517767,76278718,0,NA,NA,NA,NA,""
"18_1","Week.1",1,2017-12-04,2017-12-07,"Lower Sacramento",3,15,0,32025.5994597,0,23129.5996097833,88162170,0,NA,NA,NA,NA,""
"18_1","Week.1",1,2017-12-04,2017-12-07,"Cache Slough LI",3,12,1,24383.73573636,1,17610.4758095933,33420492,1898.0496885027,3605008.46438813,1898.68598361818,262,6864,""
"18_1","Week.1",1,2017-12-04,2017-12-07,"Sac DW Ship Channel",2,10,0,24885.17301732,0,17972.6249569533,30411491,0,NA,NA,NA,NA,""
"18_1","Week.1",1,2017-12-04,2017-12-07,"Upper Sacramento",2,12,0,53115.215768076,0,38360.9891658327,53100572,0,NA,NA,NA,NA,""
"18_1","Week.1",1,2017-12-04,2017-12-07,"Lower San Joaquin",6,26,0,44001.96389458,0,31779.1961460856,122096565,0,NA,NA,NA,NA,""
"18_1","Week.1",1,2017-12-04,2017-12-07,"Southern Delta",2,12,0,48444.97451178,0,34988.0371473967,169844010,0,NA,NA,NA,NA,""
"18_1","Week.1",1,2017-12-04,2017-12-07,"Eastern Delta",2,12,0,31466.2003425,0,22725.58913625,48788659,0,NA,NA,NA,NA,""
"18_1","Week.1",1,2017-12-04,2017-12-07,"Total",33,164,1,429834.379323271,1,310435.940622362,NA,1898.0496885027,3605008.46438813,1898.68598361818,262,6864,"Full"
"18_1","Week.2",2,2017-12-11,2017-12-14,"Western Delta",2,12,0,57590.071718256,0,41592.829574296,190166275,0,NA,NA,NA,NA,""
"18_1","Week.2",2,2017-12-11,2017-12-14,"Suisun Bay",5,25,0,52565.65668354,0,37964.0853825567,285840678,0,NA,NA,NA,NA,""
"18_1","Week.2",2,2017-12-11,2017-12-14,"Suisun Marsh",3,13,1,26983.25669424,1,19487.9076125067,76278718,3915.91353151549,15350573.5797145,3917.98080389817,541,14163,""
"18_1","Week.2",2,2017-12-11,2017-12-14,"Lower Sacramento",3,15,0,27427.827348075,0,19808.9864180542,88162170,0,NA,NA,NA,NA,""
"18_1","Week.2",2,2017-12-11,2017-12-14,"Cache Slough LI",3,15,0,22178.8270473,0,16018.0417563833,33420492,0,NA,NA,NA,NA,""
"18_1","Week.2",2,2017-12-11,2017-12-14,"Sac DW Ship Channel",3,16,0,23955.08773812,0,17300.8966997533,30411491,0,NA,NA,NA,NA,""
"18_1","Week.2",2,2017-12-11,2017-12-14,"Upper Sacramento",2,12,0,37195.99744476,0,26863.7759323267,53100572,0,NA,NA,NA,NA,""
"18_1","Week.2",2,2017-12-11,2017-12-14,"Lower San Joaquin",6,30,0,61851.68202906,0,44670.65924321,122096565,0,NA,NA,NA,NA,""
"18_1","Week.2",2,2017-12-11,2017-12-14,"Southern Delta",2,12,0,39690.71531502,0,28665.5166164033,169844010,0,NA,NA,NA,NA,""
"18_1","Week.2",2,2017-12-11,2017-12-14,"Eastern Delta",2,11,0,47027.60542326,0,33964.3816945767,48788659,0,NA,NA,NA,NA,""
"18_1","Week.2",2,2017-12-11,2017-12-14,"Total",31,161,1,396466.727441631,1,286337.080930067,NA,3915.91353151549,15350573.5797145,3917.98080389817,541,14163,"Full"
"18_1","Week.3",3,2017-12-18,2017-12-22,"Western Delta",4,15,0,53007.44719116,0,38283.1563047267,190166275,0,NA,NA,NA,NA,""
"18_1","Week.3",3,2017-12-18,2017-12-22,"Suisun Bay",4,20,0,41189.29837176,0,29747.8266018267,285840678,0,NA,NA,NA,NA,""
"18_1","Week.3",3,2017-12-18,2017-12-22,"Suisun Marsh",3,15,0,32205.55074198,0,23259.5644247633,76278718,0,NA,NA,NA,NA,""
"18_1","Week.3",3,2017-12-18,2017-12-22,"Lower Sacramento",3,15,0,31903.61001366,0,23041.4961209767,88162170,0,NA,NA,NA,NA,""
"18_1","Week.3",3,2017-12-18,2017-12-22,"Cache Slough LI",3,15,0,24122.57048586,0,17421.85646201,33420492,0,NA,NA,NA,NA,""
"18_1","Week.3",3,2017-12-18,2017-12-22,"Sac DW Ship Channel",2,10,0,17847.19075062,0,12889.6377643367,30411491,0,NA,NA,NA,NA,""
"18_1","Week.3",3,2017-12-18,2017-12-22,"Upper Sacramento",2,12,0,41123.24883744,0,29700.1241603733,53100572,0,NA,NA,NA,NA,""
"18_1","Week.3",3,2017-12-18,2017-12-22,"Lower San Joaquin",6,30,0,53916.3022629,0,38939.5516343167,122096565,0,NA,NA,NA,NA,""
"18_1","Week.3",3,2017-12-18,2017-12-22,"Southern Delta",2,12,0,40071.443702136,0,28940.4871182093,169844010,0,NA,NA,NA,NA,""
"18_1","Week.3",3,2017-12-18,2017-12-22,"Eastern Delta",2,12,0,40629.89925456,0,29343.8161282933,48788659,0,NA,NA,NA,NA,""
"18_1","Week.3",3,2017-12-18,2017-12-22,"Total",31,156,0,376016.561612076,0,271567.516719833,NA,0,0,NA,NA,NA,"Full"
"18_1","Week.4",4,2017-12-26,2017-12-29,"Western Delta",2,12,0,56594.34128964,0,40873.6909314067,190166275,0,NA,NA,NA,NA,""
"18_1","Week.4",4,2017-12-26,2017-12-29,"Suisun Bay",5,25,0,51238.937211,0,37005.8990968333,285840678,0,NA,NA,NA,NA,""
"18_1","Week.4",4,2017-12-26,2017-12-29,"Suisun Marsh",3,15,0,25458.89409987,0,18386.9790721283,76278718,0,NA,NA,NA,NA,""
"18_1","Week.4",4,2017-12-26,2017-12-29,"Lower Sacramento",2,8,0,15561.74206818,0,11239.03593813,88162170,0,NA,NA,NA,NA,""
"18_1","Week.4",4,2017-12-26,2017-12-29,"Cache Slough LI",3,15,0,25614.75078162,0,18499.54223117,33420492,0,NA,NA,NA,NA,""
"18_1","Week.4",4,2017-12-26,2017-12-29,"Sac DW Ship Channel",3,15,0,26325.373003545,0,19012.7693914492,30411491,0,NA,NA,NA,NA,""
"18_1","Week.4",4,2017-12-26,2017-12-29,"Upper Sacramento",2,12,0,43632.12017934,0,31512.08679619,53100572,0,NA,NA,NA,NA,""
"18_1","Week.4",4,2017-12-26,2017-12-29,"Lower San Joaquin",6,30,0,58114.82852868,0,41971.8206040467,122096565,0,NA,NA,NA,NA,""
"18_1","Week.4",4,2017-12-26,2017-12-29,"Southern Delta",1,6,0,20855.81443638,0,15062.5326484967,169844010,0,NA,NA,NA,NA,""
"18_1","Week.4",4,2017-12-26,2017-12-29,"Eastern Delta",2,12,0,37573.42335516,0,27136.36131206,48788659,0,NA,NA,NA,NA,""
"18_1","Week.4",4,2017-12-26,2017-12-29,"Total",29,150,0,360970.224953415,0,260700.718021911,NA,0,0,NA,NA,NA,"Full"
"18_1","Week.5",5,2018-01-02,2018-01-05,"Western Delta",2,12,0,59341.7997249,0,42857.9664679833,190166275,0,NA,NA,NA,NA,""
"18_1","Week.5",5,2018-01-02,2018-01-05,"Suisun Bay",6,30,0,65105.63255658,0,47020.7346241967,285840678,0,NA,NA,NA,NA,""
"18_1","Week.5",5,2018-01-02,2018-01-05,"Suisun Marsh",3,15,2,24865.62774696,2,17958.50892836,76278718,22351.0135926736,386928166.847151,19670.4897459914,3803,74027,""
"18_1","Week.5",5,2018-01-02,2018-01-05,"Lower Sacramento",3,15,0,27847.62942654,0,20112.1768080567,88162170,0,NA,NA,NA,NA,""
"18_1","Week.5",5,2018-01-02,2018-01-05,"Cache Slough LI",4,20,0,40268.98572774,0,29083.1563589233,33420492,0,NA,NA,NA,NA,""
"18_1","Week.5",5,2018-01-02,2018-01-05,"Sac DW Ship Channel",4,18,1,29908.30749984,1,21600.44430544,30411491,1408.27073860006,1985232.42990235,1408.98276423182,195,5093,""
"18_1","Week.5",5,2018-01-02,2018-01-05,"Upper Sacramento",2,12,0,43696.48477656,0,31558.5723386267,53100572,0,NA,NA,NA,NA,""
"18_1","Week.5",5,2018-01-02,2018-01-05,"Lower San Joaquin",6,30,0,53570.21618256,0,38689.6005762933,122096565,0,NA,NA,NA,NA,""
"18_1","Week.5",5,2018-01-02,2018-01-05,"Southern Delta",2,12,0,40526.44411662,0,29269.09852867,169844010,0,NA,NA,NA,NA,""
"18_1","Week.5",5,2018-01-02,2018-01-05,"Eastern Delta",2,12,0,34042.13218098,0,24585.98435293,48788659,0,NA,NA,NA,NA,""
"18_1","Week.5",5,2018-01-02,2018-01-05,"Total",34,176,3,419173.25993928,3,302736.24328948,NA,23759.2843312737,388913399.277054,19720.887385639,4424,75553,"Full"
"18_1","Week.6",6,2018-01-08,2018-01-11,"Western Delta",2,12,0,62933.74863468,0,45452.1517917133,190166275,0,NA,NA,NA,NA,""
"18_1","Week.6",6,2018-01-08,2018-01-11,"Suisun Bay",5,25,0,47489.78366979,0,34298.1770948483,285840678,0,NA,NA,NA,NA,""
"18_1","Week.6",6,2018-01-08,2018-01-11,"Suisun Marsh",3,14,1,28708.46379093,1,20733.8905156717,76278718,3678.83572582845,13536591.0308972,3679.21065323762,509,13301,""
"18_1","Week.6",6,2018-01-08,2018-01-11,"Lower Sacramento",2,10,0,17618.71327986,0,12724.6262576767,88162170,0,NA,NA,NA,NA,""
"18_1","Week.6",6,2018-01-08,2018-01-11,"Cache Slough LI",3,15,0,25926.63263883,0,18724.790239155,33420492,0,NA,NA,NA,NA,""
"18_1","Week.6",6,2018-01-08,2018-01-11,"Sac DW Ship Channel",3,15,0,26412.40000476,0,19075.62222566,30411491,0,NA,NA,NA,NA,""
"18_1","Week.6",6,2018-01-08,2018-01-11,"Upper Sacramento",2,12,0,47557.68663492,0,34347.21812522,53100572,0,NA,NA,NA,NA,""
"18_1","Week.6",6,2018-01-08,2018-01-11,"Lower San Joaquin",6,30,0,51835.06795698,0,37436.43796893,122096565,0,NA,NA,NA,NA,""
"18_1","Week.6",6,2018-01-08,2018-01-11,"Southern Delta",2,12,0,48131.23922376,0,34761.4505504933,169844010,0,NA,NA,NA,NA,""
"18_1","Week.6",6,2018-01-08,2018-01-11,"Eastern Delta",2,12,0,50041.28392032,0,36140.9272757867,48788659,0,NA,NA,NA,NA,""
"18_1","Week.6",6,2018-01-08,2018-01-11,"Total",30,157,1,406655.01975483,1,293695.292045155,NA,3678.83572582845,13536591.0308972,3679.21065323762,509,13301,"Full"
"18_1","Week.7",7,2018-01-16,2018-01-19,"Western Delta",2,12,0,51962.44920174,0,37528.43553459,190166275,0,NA,NA,NA,NA,""
"18_1","Week.7",7,2018-01-16,2018-01-19,"Suisun Bay",5,25,0,51577.27258068,0,37250.25241938,285840678,0,NA,NA,NA,NA,""
"18_1","Week.7",7,2018-01-16,2018-01-19,"Suisun Marsh",2,8,3,15120.28854798,3,10920.2083957633,76278718,38556.3817265533,788515811.031646,28080.5236958224,8678,111933,""
"18_1","Week.7",7,2018-01-16,2018-01-19,"Lower Sacramento",3,15,0,27730.35780438,0,20027.4806364967,88162170,0,NA,NA,NA,NA,""
"18_1","Week.7",7,2018-01-16,2018-01-19,"Cache Slough LI",2,10,0,18151.49039088,0,13109.4097267467,33420492,0,NA,NA,NA,NA,""
"18_1","Week.7",7,2018-01-16,2018-01-19,"Sac DW Ship Channel",3,15,0,26840.03704074,0,19384.47119609,30411491,0,NA,NA,NA,NA,""
"18_1","Week.7",7,2018-01-16,2018-01-19,"Upper Sacramento",2,12,0,44006.51320296,0,31782.4817576933,53100572,0,NA,NA,NA,NA,""
"18_1","Week.7",7,2018-01-16,2018-01-19,"Lower San Joaquin",6,30,0,47323.1433906,0,34177.8257821,122096565,0,NA,NA,NA,NA,""
"18_1","Week.7",7,2018-01-16,2018-01-19,"Southern Delta",2,10,0,30254.05659276,0,21850.15198366,169844010,0,NA,NA,NA,NA,""
"18_1","Week.7",7,2018-01-16,2018-01-19,"Eastern Delta",1,2,0,6033.08578026,0,4357.22861907667,48788659,0,NA,NA,NA,NA,""
"18_1","Week.7",7,2018-01-16,2018-01-19,"Total",28,139,3,318998.69453298,3,230387.946051597,NA,38556.3817265533,788515811.031646,28080.5236958224,8678,111933,"Full"
"18_1","Week.8",8,2018-01-22,2018-01-25,"Western Delta",2,12,0,54353.03795922,0,39254.9718594367,190166275,0,NA,NA,NA,NA,""
"18_1","Week.8",8,2018-01-22,2018-01-25,"Suisun Bay",5,25,0,52230.01721322,0,37721.6790984367,285840678,0,NA,NA,NA,NA,""
"18_1","Week.8",8,2018-01-22,2018-01-25,"Suisun Marsh",2,8,1,15239.91908208,1,11006.6082259467,76278718,6931.89785718046,48115335.4948522,6936.52185860119,958,25073,""
"18_1","Week.8",8,2018-01-22,2018-01-25,"Lower Sacramento",2,10,0,19694.89277448,0,14224.0892260133,88162170,0,NA,NA,NA,NA,""
"18_1","Week.8",8,2018-01-22,2018-01-25,"Cache Slough LI",3,15,0,26020.82062272,0,18792.8148941867,33420492,0,NA,NA,NA,NA,""
"18_1","Week.8",8,2018-01-22,2018-01-25,"Sac DW Ship Channel",3,15,1,25358.97732984,1,18314.81696044,30411491,4515.76477500696,36341804.7724168,6028.41643986352,373,19659,""
"18_1","Week.8",8,2018-01-22,2018-01-25,"Upper Sacramento",2,12,0,40219.448577,0,29047.3795278333,53100572,0,NA,NA,NA,NA,""
"18_1","Week.8",8,2018-01-22,2018-01-25,"Lower San Joaquin",5,25,0,42820.31748456,0,30925.78484996,122096565,0,NA,NA,NA,NA,""
"18_1","Week.8",8,2018-01-22,2018-01-25,"Southern Delta",2,12,0,46861.4706252,0,33844.3954515333,169844010,0,NA,NA,NA,NA,""
"18_1","Week.8",8,2018-01-22,2018-01-25,"Eastern Delta",2,12,0,38594.49523776,0,27873.80211616,48788659,0,NA,NA,NA,NA,""
"18_1","Week.8",8,2018-01-22,2018-01-25,"Total",28,146,2,361393.39690608,2,261006.342209947,NA,11447.6626321874,84457140.2672689,9190.05659760966,2241,35566,"Full"
"18_1","Week.9",9,2018-01-29,2018-02-01,"Western Delta",2,12,0,55158.77488044,0,39836.8929692067,190166275,0,NA,NA,NA,NA,""
"18_1","Week.9",9,2018-01-29,2018-02-01,"Suisun Bay",6,30,0,64134.77179956,0,46319.5574107933,285840678,0,NA,NA,NA,NA,""
"18_1","Week.9",9,2018-01-29,2018-02-01,"Suisun Marsh",2,10,0,18960.93417372,0,13694.0080143533,76278718,0,NA,NA,NA,NA,""
"18_1","Week.9",9,2018-01-29,2018-02-01,"Lower Sacramento",3,15,1,27452.00619546,1,19826.4489189433,88162170,4446.97777551012,19782063.7079273,4447.70319467558,615,16079,""
"18_1","Week.9",9,2018-01-29,2018-02-01,"Cache Slough LI",3,15,0,22873.779354195,0,16519.9517558075,33420492,0,NA,NA,NA,NA,""
"18_1","Week.9",9,2018-01-29,2018-02-01,"Sac DW Ship Channel",2,10,0,17999.50906446,0,12999.6454354433,30411491,0,NA,NA,NA,NA,""
"18_1","Week.9",9,2018-01-29,2018-02-01,"Upper Sacramento",2,12,0,39536.37507666,0,28554.0486664767,53100572,0,NA,NA,NA,NA,""
"18_1","Week.9",9,2018-01-29,2018-02-01,"Lower San Joaquin",4,20,0,38580.34176612,0,27863.58016442,122096565,0,NA,NA,NA,NA,""
"18_1","Week.9",9,2018-01-29,2018-02-01,"Southern Delta",2,12,0,43181.23101138,0,31186.44461933,169844010,0,NA,NA,NA,NA,""
"18_1","Week.9",9,2018-01-29,2018-02-01,"Eastern Delta",3,18,0,61093.79732148,0,44123.2980655133,48788659,0,NA,NA,NA,NA,""
"18_1","Week.9",9,2018-01-29,2018-02-01,"Total",29,154,1,388971.520643475,1,280923.876020288,NA,4446.97777551012,19782063.7079273,4447.70319467558,615,16079,"Full"
"18_1","Week.10",10,2018-02-05,2018-02-08,"Western Delta",2,12,0,52000.5287802,0,37555.9374523667,190166275,0,NA,NA,NA,NA,""
"18_1","Week.10",10,2018-02-05,2018-02-08,"Suisun Bay",6,30,0,67081.05281262,0,48447.4270313367,285840678,0,NA,NA,NA,NA,""
"18_1","Week.10",10,2018-02-05,2018-02-08,"Suisun Marsh",3,15,0,32446.49674728,0,23433.5809841467,76278718,0,NA,NA,NA,NA,""
"18_1","Week.10",10,2018-02-05,2018-02-08,"Lower Sacramento",4,20,0,34503.46795896,0,24919.1713036933,88162170,0,NA,NA,NA,NA,""
"18_1","Week.10",10,2018-02-05,2018-02-08,"Cache Slough LI",4,17,0,27469.69803501,0,19839.2263586183,33420492,0,NA,NA,NA,NA,""
"18_1","Week.10",10,2018-02-05,2018-02-08,"Sac DW Ship Channel",3,15,0,27430.10201316,0,19810.6292317267,30411491,0,NA,NA,NA,NA,""
"18_1","Week.10",10,2018-02-05,2018-02-08,"Upper Sacramento",2,12,0,41917.19119896,0,30273.5269770267,53100572,0,NA,NA,NA,NA,""
"18_1","Week.10",10,2018-02-05,2018-02-08,"Lower San Joaquin",6,30,0,50594.95425138,0,36540.8002926633,122096565,0,NA,NA,NA,NA,""
"18_1","Week.10",10,2018-02-05,2018-02-08,"Southern Delta",2,12,0,42055.01905374,0,30373.06931659,169844010,0,NA,NA,NA,NA,""
"18_1","Week.10",10,2018-02-05,2018-02-08,"Eastern Delta",2,9,0,25280.12227356,0,18257.86608646,48788659,0,NA,NA,NA,NA,""
"18_1","Week.10",10,2018-02-05,2018-02-08,"Total",34,172,0,400778.63312487,0,289451.235034628,NA,0,0,NA,NA,NA,"Full"
"18_1","Week.11",11,2018-02-12,2018-02-15,"Western Delta",2,12,0,50010.6180651,0,36118.7797136833,190166275,0,NA,NA,NA,NA,""
"18_1","Week.11",11,2018-02-12,2018-02-15,"Suisun Bay",4,20,0,39248.25083256,0,28345.9589346267,285840678,0,NA,NA,NA,NA,""
"18_1","Week.11",11,2018-02-12,2018-02-15,"Suisun Marsh",2,10,0,22860.88958538,0,16510.64247833,76278718,0,NA,NA,NA,NA,""
"18_1","Week.11",11,2018-02-12,2018-02-15,"Lower Sacramento",2,9,1,15785.16472764,1,11400.39674774,88162170,7733.57798833572,59837469.8924732,7735.46830466477,1069,27965,""
"18_1","Week.11",11,2018-02-12,2018-02-15,"Cache Slough LI",2,10,0,17095.03482918,0,12346.4140432967,33420492,0,NA,NA,NA,NA,""
"18_1","Week.11",11,2018-02-12,2018-02-15,"Sac DW Ship Channel",3,14,0,26848.12473882,0,19390.31231137,30411491,0,NA,NA,NA,NA,""
"18_1","Week.11",11,2018-02-12,2018-02-15,"Upper Sacramento",2,12,0,40218.10062732,0,29046.40600862,53100572,0,NA,NA,NA,NA,""
"18_1","Week.11",11,2018-02-12,2018-02-15,"Lower San Joaquin",6,30,0,55452.62791068,0,40049.1201577133,122096565,0,NA,NA,NA,NA,""
"18_1","Week.11",11,2018-02-12,2018-02-15,"Southern Delta",3,18,0,56426.8585419,0,40752.73116915,169844010,0,NA,NA,NA,NA,""
"18_1","Week.11",11,2018-02-12,2018-02-15,"Eastern Delta",2,12,0,40888.03161828,0,29530.2450576467,48788659,0,NA,NA,NA,NA,""
"18_1","Week.11",11,2018-02-12,2018-02-15,"Total",28,147,1,364833.70147686,1,263491.006622177,NA,7733.57798833572,59837469.8924732,7735.46830466477,1069,27965,"Full"
"18_1","Week.12",12,2018-02-20,2018-02-23,"Western Delta",2,12,0,40868.1493605,0,29515.88564925,190166275,0,NA,NA,NA,NA,""
"18_1","Week.12",12,2018-02-20,2018-02-23,"Suisun Bay",4,20,0,45721.44218334,0,33021.0415768567,285840678,0,NA,NA,NA,NA,""
"18_1","Week.12",12,2018-02-20,2018-02-23,"Suisun Marsh",3,15,0,35238.10053456,0,25449.73927496,76278718,0,NA,NA,NA,NA,""
"18_1","Week.12",12,2018-02-20,2018-02-23,"Lower Sacramento",3,12,1,20819.75678244,1,15036.49100954,88162170,5854.31370627311,34340528.7408831,5860.07924356686,808,21180,""
"18_1","Week.12",12,2018-02-20,2018-02-23,"Cache Slough LI",3,15,0,27661.696617555,0,19977.8920015675,33420492,0,NA,NA,NA,NA,""
"18_1","Week.12",12,2018-02-20,2018-02-23,"Sac DW Ship Channel",3,15,0,25269.67566354,0,18250.3213125567,30411491,0,NA,NA,NA,NA,""
"18_1","Week.12",12,2018-02-20,2018-02-23,"Upper Sacramento",2,12,0,39119.1846507,0,28252.74446995,53100572,0,NA,NA,NA,NA,""
"18_1","Week.12",12,2018-02-20,2018-02-23,"Lower San Joaquin",6,30,0,56297.1183852,0,40659.0299448667,122096565,0,NA,NA,NA,NA,""
"18_1","Week.12",12,2018-02-20,2018-02-23,"Southern Delta",3,13,0,44398.092585,0,32065.2890891667,169844010,0,NA,NA,NA,NA,""
"18_1","Week.12",12,2018-02-20,2018-02-23,"Eastern Delta",2,10,0,32207.5726665,0,23261.0247035833,48788659,0,NA,NA,NA,NA,""
"18_1","Week.12",12,2018-02-20,2018-02-23,"Total",31,154,1,367600.789429335,1,265489.459032297,NA,5854.31370627311,34340528.7408831,5860.07924356686,808,21180,"Full"
"18_1","Week.13",13,2018-02-26,2018-03-02,"Western Delta",2,12,0,49529.06304192,0,35770.98997472,190166275,0,NA,NA,NA,NA,""
"18_1","Week.13",13,2018-02-26,2018-03-02,"Suisun Bay",6,30,0,70262.88803226,0,50745.41913441,285840678,0,NA,NA,NA,NA,""
"18_1","Week.13",13,2018-02-26,2018-03-02,"Suisun Marsh",2,10,0,24941.11292904,0,18013.0260043067,76278718,0,NA,NA,NA,NA,""
"18_1","Week.13",13,2018-02-26,2018-03-02,"Lower Sacramento",2,8,0,15395.2702827,0,11118.8063152833,88162170,0,NA,NA,NA,NA,""
"18_1","Week.13",13,2018-02-26,2018-03-02,"Cache Slough LI",2,8,0,12000.1220262,0,8666.7547967,33420492,0,NA,NA,NA,NA,""
"18_1","Week.13",13,2018-02-26,2018-03-02,"Sac DW Ship Channel",3,12,1,23669.32240596,1,17094.5106265267,30411491,2993.95802088427,22099695.1445961,4701.03128521776,181,14299,""
"18_1","Week.13",13,2018-02-26,2018-03-02,"Upper Sacramento",2,8,0,24854.84414952,0,17950.7207746533,53100572,0,NA,NA,NA,NA,""
"18_1","Week.13",13,2018-02-26,2018-03-02,"Lower San Joaquin",5,25,0,42213.74012856,0,30487.70120396,122096565,0,NA,NA,NA,NA,""
"18_1","Week.13",13,2018-02-26,2018-03-02,"Southern Delta",2,12,0,38330.6340879,0,27683.23573015,169844010,0,NA,NA,NA,NA,""
"18_1","Week.13",13,2018-02-26,2018-03-02,"Eastern Delta",2,12,0,31456.76469474,0,22718.7745017567,48788659,0,NA,NA,NA,NA,""
"18_1","Week.13",13,2018-02-26,2018-03-02,"Total",28,137,1,332653.7617788,1,240249.939062467,NA,2993.95802088427,22099695.1445961,4701.03128521776,181,14299,"Full"
"18_1","Week.14",14,2018-03-05,2018-03-08,"Western Delta",2,13,0,47320.78447866,0,34176.1221234767,190166275,0,NA,NA,NA,NA,""
"18_1","Week.14",14,2018-03-05,2018-03-08,"Suisun Bay",7,35,0,71974.95261957,0,51981.910225245,285840678,0,NA,NA,NA,NA,""
"18_1","Week.14",14,2018-03-05,2018-03-08,"Suisun Marsh",2,10,0,23614.73044392,0,17055.0830983867,76278718,0,NA,NA,NA,NA,""
"18_1","Week.14",14,2018-03-05,2018-03-08,"Lower Sacramento",2,10,0,17463.36207924,0,12612.42816834,88162170,0,NA,NA,NA,NA,""
"18_1","Week.14",14,2018-03-05,2018-03-08,"Cache Slough LI",3,13,0,20025.224692935,0,14462.6622782308,33420492,0,NA,NA,NA,NA,""
"18_1","Week.14",14,2018-03-05,2018-03-08,"Sac DW Ship Channel",3,15,0,26673.56525526,0,19264.2415732433,30411491,0,NA,NA,NA,NA,""
"18_1","Week.14",14,2018-03-05,2018-03-08,"Upper Sacramento",2,12,0,45399.28220982,0,32788.37048487,53100572,0,NA,NA,NA,NA,""
"18_1","Week.14",14,2018-03-05,2018-03-08,"Lower San Joaquin",6,30,0,50474.64974244,0,36453.9137028733,122096565,0,NA,NA,NA,NA,""
"18_1","Week.14",14,2018-03-05,2018-03-08,"Southern Delta",3,18,0,71206.11582084,0,51426.63920394,169844010,0,NA,NA,NA,NA,""
"18_1","Week.14",14,2018-03-05,2018-03-08,"Eastern Delta",2,12,0,32981.29578282,0,23819.8247320367,48788659,0,NA,NA,NA,NA,""
"18_1","Week.14",14,2018-03-05,2018-03-08,"Total",32,168,0,407133.963125505,0,294041.195590643,NA,0,0,NA,NA,NA,"Full"
"18_1","Week.15",15,2018-03-12,2018-03-15,"Western Delta",2,12,0,47714.0487978,0,34460.1463539667,190166275,0,NA,NA,NA,NA,""
"18_1","Week.15",15,2018-03-12,2018-03-15,"Suisun Bay",6,30,0,58696.80580302,0,42392.1375244033,285840678,0,NA,NA,NA,NA,""
"18_1","Week.15",15,2018-03-12,2018-03-15,"Suisun Marsh",3,13,1,26864.6371224,1,19402.2379217333,76278718,3944.90397195492,15526041.0504382,3940.30976579737,547,14251,""
"18_1","Week.15",15,2018-03-12,2018-03-15,"Lower Sacramento",3,15,0,26203.46780436,0,18924.7267475933,88162170,0,NA,NA,NA,NA,""
"18_1","Week.15",15,2018-03-12,2018-03-15,"Cache Slough LI",3,12,0,18991.93701636,0,13716.39895626,33420492,0,NA,NA,NA,NA,""
"18_1","Week.15",15,2018-03-12,2018-03-15,"Sac DW Ship Channel",3,13,1,22909.75276128,1,16545.9325498133,30411491,1838.32383869762,3383513.93045149,1839.43304592787,254,6649,""
"18_1","Week.15",15,2018-03-12,2018-03-15,"Upper Sacramento",2,12,0,41391.82781118,0,29894.09786363,53100572,0,NA,NA,NA,NA,""
